Register,Sigle,Fundort,OCIANA-Typ,Grafik im Text (Vorbefund),Zeichnung? (bitte ausfüllen),OCIANA-URL
III warte,RSIS 110,Tall aḍ-Ḍabiʿ,Narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0032726.html
III warte,Is.Mu 255,al-ʿĪsāwī,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0027262.html
III warte,SIJ 30,Jathum,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0016688.html
III warte,LP 1196,Rif Dimašq,Narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0009780.html
III warte,KRS 3051,Al-Mafraq,Narrative,junge Kamelstute (Bildunterschrift?),,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0023688.html
III warte,CSNS 796,Qāʿ al-Maḥfūr,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0015729.html
III warte,C 2756,Zalaf,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0005960.html
III warte,C 2753,Zalaf,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0005957.html
III warte,RSIS 322,Tall aḍ-Ḍabiʿ,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0032945.html
III warte,WH 175,WH Cairn 7,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0010929.html
III warte,AbSWS 15,Wādī Salma,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0030468.html
III warte,KWQ 113,Tell 5,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0024269.html
III warte,ASWS 183,Wādī Sārah,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0031739.html
III warte,CEDS 226,EDS 80-5,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0018858.html
III warte,SIJ 323,Jawa,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0017006.html
III warte,SIJ 14,Jathum,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0016672.html
III warte,GSSH 1,Al-Mafraq,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0030375.html
III warte,C 2194,Zalaf,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0005398.html
IV bitte,BS 209,Al-Mafraq,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0038877.html
IV bitte,MKJS 80,Al-Mafraq,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0024665.html
IV bitte,LP 1267,Al-Suwaydā,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0009851.html
IV bitte,Is.Mu 88,al-ʿĪsāwī,Narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0027093.html
IV bitte,AbSWS 42,Wādī Salma,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0030495.html
IV bitte,WAMS 19.2,Km 910,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0003179.html
IV bitte,C 64,Ǧabal Says,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0003269.html
IV bitte,C 134,Ǧabal Says,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0003339.html
IV bitte,C 218,Rif Dimašq,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0003423.html
IV bitte,C 1412,Riǧm Qaʿqūl,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0003796.html
IV bitte,C 805,Rif Dimašq,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0004010.html
IV bitte,C 885,Khirbat al-Umbāšī,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0004090.html
IV bitte,C 898,Khirbat al-Hubayrīyah,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0004103.html
IV bitte,C 907,Khirbat al-Hubayrīyah,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0004112.html
IV bitte,C 1086,Rif Dimašq,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0004291.html
IV bitte,C 1496,Zalaf,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0004701.html
IV bitte,C 1629,Zalaf,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0004834.html
IV bitte,C 1660,Zalaf,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0004865.html
V schweige,RQ.A 5,Riǧm Qaʿqūl,Narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0035922.html
V schweige,WH 1867.1,Fundort unbekannt,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0012720.html
V schweige,WH 1501.2,Fundort unbekannt,Minimal,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0012328.html
V schweige,JaS 23,Km 612,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0002847.html
V schweige,HCH 102,Hani,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0002955.html
V schweige,HCH 125,Hani,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0002978.html
V schweige,HCH 151,Hani,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0003004.html
V schweige,HCH 157,Hani,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0003010.html
V schweige,HCH 164,Hani,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0003017.html
V schweige,HCH 183,Hani,Minimal,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0003036.html
V schweige,HCH 184,Hani,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0003037.html
V schweige,HCH 195,bei Safawi,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0003048.html
V schweige,C 1146,Riǧm Qaʿqūl,Minimal,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0004569.html
V schweige,SIJ 10,Jathum,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0016668.html
V schweige,C 12,Ǧabal Says,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0003217.html
V schweige,C 1312,Riǧm Qaʿqūl,Minimal,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0003693.html
V schweige,C 1368,Riǧm Qaʿqūl,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0003751.html
VI klage,LP 540,al-ʿĪsāwī,Narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0009124.html
VI klage,KRS 17,Wādī Salma,Narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0020645.html
VI klage,AbaNS 361,Site 12,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0025126.html
VI klage,C 4273,Al-Suwaydā,Narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0007477.html
VI klage,CSNS 781,Qāʿ al-Maḥfūr,Minimal,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0015714.html
VI klage,WH 1517,Fundort unbekannt,Minimal,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0012349.html
VI klage,AbaNS 453,Site 13,Minimal,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0025219.html
VI klage,WH 3829,Fundort unbekannt,Minimal,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0014800.html
VI klage,WH 3029,Fundort unbekannt,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0013944.html
VI klage,WH 2825,Fundort unbekannt,Minimal,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0013725.html
VI klage,HaNSB 319,Cairn 9,Minimal,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0019603.html
VI klage,HaNS 708,Cairn 10,Minimal,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0024076.html
VI klage,HaNSB 346,Cairn 9,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0019631.html
VI klage,HNSD 13,Jordanien (allg.),Minimal,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0037420.html
VI klage,SIJ 1001,bei Ruwayshid,Minimal,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0017740.html
VI klage,SIJ 811,Tell al-ʿAbd,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0017539.html
VI klage,SSWS 28,Wādī Sārah,Minimal,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0031103.html
VI klage,C 5367,Ḥarrat al-Raǧil,Minimal,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0008571.html
VII verfluche,C 4803,Zalaf,Narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0008007.html
VII verfluche,RSIS 351,Tall aḍ-Ḍabiʿ,Narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0032974.html
VII verfluche,LP 243,Al-Mrōshan,Narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0008827.html
VII verfluche,C 2775,Zalaf,Narrative,Ritzung (Fluch schützt „the carving“),,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0005979.html
VII verfluche,WH 368,Fundort unbekannt,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0011130.html
VII verfluche,LP 461,al-ʿĪsāwī,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0009045.html
VII verfluche,KRS 813,Al-Mafraq,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0021441.html
VII verfluche,KRS 941,Al-Mafraq,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0021569.html
VII verfluche,Is.Mu 242,al-ʿĪsāwī,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0027249.html
VII verfluche,HCH 85,Hani,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0002938.html
VII verfluche,C 286,Rif Dimašq,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0003491.html
VII verfluche,C 1658,Zalaf,Invocation,zwei Kamele (Widmung/Bildunterschrift?),,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0004863.html
VII verfluche,C 1845,Zalaf,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0005049.html
VII verfluche,C 2551,Zalaf,Invocation,Ritzungen („another of the carvings“),,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0005755.html
VII verfluche,C 3138,Zalaf,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0006342.html
VII verfluche,C 4439,Al-Suwaydā,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0007643.html
VII verfluche,C 5299,Ḥarrat al-Raǧil,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0008503.html
VII verfluche,LP 308,al-ʿĪsāwī,Invocation,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0008892.html
VIII bezeuge,HSNS 5,Jordanien (allg.),Narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0032321.html
VIII bezeuge,LP 653,Rif Dimašq,Narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0009237.html
VIII bezeuge,C 2670,Zalaf,Narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0005874.html
VIII bezeuge,ISB 57,Site 4,Narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0016213.html
VIII bezeuge,HSNS 1,Jordanien (allg.),Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0032320.html
VIII bezeuge,RQ.D 3,Riǧm Qaʿqūl,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0035912.html
VIII bezeuge,LP 1291,Syrien (allg.),Narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0009875.html
VIII bezeuge,C 2190,Zalaf,Narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0005394.html
VIII bezeuge,RQ.D 6,Riǧm Qaʿqūl,Narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0035915.html
VIII bezeuge,Is.L 202,al-ʿĪsāwī,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0026605.html
VIII bezeuge,ASFF 267,Al-Mafraq,Narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0033999.html
VIII bezeuge,KRS 1586,Al-Mafraq,Narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0022215.html
VIII bezeuge,C 4681,Rif Dimašq,Narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0007885.html
VIII bezeuge,ZN 1,Zimlet Nāṣir,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0017830.html
VIII bezeuge,RWQ 304,Wādī Salma,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0032232.html
VIII bezeuge,BWM 3,Wādī Miqāṭ,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0020271.html
VIII bezeuge,RSIS 324,Tall aḍ-Ḍabiʿ,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0032947.html
VIII bezeuge,C 4902,Rif Dimašq,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0008106.html
