Register	Sigle	Fundort	Transliteration	OCIANA-Uebersetzung	Deutsche Fassung
stehen	JaS 5	Km 612	l tm bn mḥlm bn s²dt bn mḥlm ḏ- ʾl tm	By Tm son of Mḥlm son of S²dt son of Mḥlm of the lineage of Tm	Von Tm, Sohn des Mḥlm, / Sohn des Šdt, Sohn des Mḥlm, / vom Stamm Tm.
ritzen	HCH 117	Hani	l ʾnʿm	By ʾnʿm	Von ʾnʿm.
ritzen	HCH 156	Hani	l s¹{ḫ}r	By {s¹ḫr}	Von Sḫr.
ritzen	HCH 158.1	Hani	l gḥs²	By Gḥs²	Von Gḥš.
ritzen	HCH 158.2	Hani	l s¹ʿd	By S¹ʿd	Von Sʿd.
ritzen	HCH 160	Hani	l gḥs²	By Gḥs²	Von Gḥš.
ritzen	HCH 31.1	Hani	l ʿṭs¹	By ʿṭs¹	Von ʿṭs.
ritzen	HCH 75	Hani	l ʿdy	By ʿdy	Von ʿdy.
ritzen	Is.Mu 484	al-ʿĪsāwī	l nr bn qdm bn rbhm bn bny w bdʾ h- wqʿt	By Nr son of Qdm son of Rbhm son of Bny and he wrote his name for the first time [?]	Von Nr, Sohn des Qdm — / und er schrieb seinen Namen / zum ersten Mal.
ritzen	JaS 16	Km 612	l bnḥt	By Bnḥt	Von Bnḥt.
ritzen	RWQ 187	Wādī Salma	l s²mt bn ṯrbt h- dr w s²ml ʾs¹d	By S²mt son of Ṯrbt was here and he saw the lion at the northern side	Er war hier / und sah den Löwen / an der Nordseite.
ritzen	RWQ 342	Wādī Salma	l ḥy bn qdm h- dr w mṭrt h- s¹my b- ʿqbt ʿgzt	By Ḥy son of Qdm here and the sky rained after a long time of no rain.	Hier. / Und der Himmel regnete, / nach langer Zeit ohne Regen.
ritzen	Rees 150	Ḥarrat al-Raǧil	{l} s¹l{f}	By {s¹lf}	Von Slf.
ritzen	Rees 151	Ḥarrat al-Raǧil	l ʾḫwn	By ʾḫwn	Von ʾḫwn.
ritzen	Rees 155	Ḥarrat al-Raǧil	l s²d	By S²d	Von Šd.
ritzen	Rees 161 4	Ḥarrat al-Raǧil	l hnb	By Hnb	Von Hnb.
ritzen	Rees 176	Ḥarrat al-Raǧil	l s¹{d}{r}t	By {s¹drt}	Von Sdrt.
ritzen	SIJ 291	Jawa	l s²rk bn mtn bn qḏy w s¹fr l- ḫzʾ w s¹fr l- bḫlth	By S²rk son of Mtn son of Qḏy and he wrote for his maternal uncle and he wrote for his true friend	Von Šrk — / und er schrieb für den Mutterbruder, / und er schrieb für den wahren Freund.
harren	ASWS 183	Wādī Sārah	l qrs²t bn ḥbb w ḫrṣ h- ʾs¹d	By Qrs²t son of Ḥbb and he was on the look-out for the lion	Er war auf der Lauer / nach dem Löwen.
harren	ASWS 73	Wādī Sārah	l rbʾl bn ḥnn bn ẓʿn bn ḫyḏ bn ʿḏr w wrd ḥḏr f mlḥ f ḏkr f ʾmt f ʾmt w ngʿ ʿl- ḥbb w ʿl- h -ʾbl rʿy -h hgr m mdbr s¹nt myt bnt	By Rbʾl son of Ḥnn son of Ẓʿn son of H̲yḏ son of ʿḏr and he went to water cautious of drought, then (again) in Aquarius, then Aries, then Libra, and then Libra (again, i.e. for two years in a row), during which he grieved in pain for a loved one and for the camels, which he pastured, having migrated from the inner desert, the year Bnt died.	Von Rbʾl, Sohn des Ḥnn, Sohn des Ẓʿn, / Sohn des Ḫyḏ, Sohn des ʿḏr. / Und er zog zum Wasser, der Dürre gewärtig — / dann wieder im Wassermann, dann im Widder, / dann in der Waage, dann abermals in der Waage, / zwei Jahre in Folge —, / und in dieser Zeit trauerte er vor Schmerz / um einen, den er liebte, / und um die Kamele, die er weidete, / tief aus der Wüste hinausgezogen / im Jahr, als Bnt starb.
harren	AbSWS 15	Wādī Salma	l s¹ʿd [bn] ġyrʾl bn s¹krn bn zkr bn ẓnʾl w ḫrṣ	By S¹ʿd [son of] Ġyrʾl son of S¹krn son of Zkr son of Ẓnʾl and he was on the look-out	Von Sʿd, Sohn des Ġyrʾl, / Sohn des Skrn, Sohn des Zkr, / Sohn des Ẓnʾl — / und er hielt Ausschau.
harren	C 2194	Zalaf	l rkb bn ẓn bn ʿnmt bn ʾmʿḍ bn nyn bn ʾdm w ḫrṣ f {h} yʾ{l}t nqmt m- s²nʾ w ----	By Rkb son of Ẓn son of ʿnmt son of ʾmʿḍ son of Nyn son of ʾdm and he was on the look-out and so O Yʾlt [grant] booty from enemies w ----	Er hielt Ausschau. / Yalt — Beute, den Feinden abgenommen.
harren	C 2753	Zalaf	l mġ(ṯ) bn bhs² bn kft w (w)gm ʿl- qm h- mẓr	By {Mġṯ} son of Bhs² son of Kft and he grieved for the group of men in the look-out post	Um die Männer im Späherposten / trauerte er.
harren	C 2756	Zalaf	l s¹d bn s²zr bn rbn w wgm ʿl- qm {h-} mẓr	By S¹d son of S²zr son of Rbn and he grieved for the group of men in the look-out post	Um die Männer im Späherposten / trauerte er.
harren	CEDS 226	EDS 80-5	l bġyḍ bn zʿn w nẓr h- ḫl	By Bġyḍ son of Zʿn and he was on the look-out for the horses	Er hielt Ausschau / nach den Pferden.
harren	CSNS 796	Qāʿ al-Maḥfūr	l ʿg w tnẓr h- ḍbʾ ymn	By ʿg and he awaited the successful raid	Er wartete / auf den glückenden Raubzug.
harren	GSSH 1	Al-Mafraq	l grm bn zd bn rkb bn ḥrb bn ʿqrb bn ʾs¹ bn yṣḥḥ w tẓr h- mẓr s²nʾ b- gl	By Grm son of Zd son of Rkb son of Ḥrb son of ʿqrb son of ʾs¹ son of Yṣḥḥ and he lay in wait at the look-out for enemies with camels	Er lag am Späherplatz, / auf der Lauer nach Feinden  / mit ihren Kamelen.
harren	Is.Mu 255	al-ʿĪsāwī	l ----d bn ʾnʿm bn ʾs¹ bn ʾnʿm w ḫrṣ ḥbb f h y{ʾ}lt s¹lm	By D son of ʾnʿm son of ʾs¹ son of ʾnʿm and was on the look out for [his] beloved. So, O {Yʾlt} [grant] security	Er hielt Ausschau / nach der Geliebten. / Yalt — Sicherheit.
harren	KWQ 113	Tell 5	l bdḥ bn ʿlg w drg m{ʿ-} mʿzy w tẓr	By Bdḥ son of ʿlg and he walked with goats and was on the look-out	Er ging mit den Ziegen / und hielt Ausschau.
harren	LP 1196	Rif Dimašq	(l) ms¹wd bn wh(b)n bn hrṯ bn ms¹k bn qmr (b)n ʿwḏ bn wh(b)ʾl w ḫrṣ h- ʾmṭy f (h) ylt s¹lm w ġnmt m- s²nʾ f hyd	{By} Ms¹wd son of {Whbn} son of Hrṯ son of Ms¹k son of Qmr {son of} ʿwḏ son of {Whbʾl} and he was on the look-out for the cavalcade. So, O Lt [grant] security and booty from the enemy and frightening	Von Mswd, Sohn des Whbn, / Sohn des Hrṯ, Sohn des Msk, / Sohn des Qmr, Sohn des ʿwḏ, / Sohn des Whbʾl — / und er hielt Ausschau / nach dem Reiterzug. / Yalt — / Sicherheit und Beute, dem Feind abgenommen.
harren	RSIS 110	Tall aḍ-Ḍabiʿ	l mġyr bn ḫrṣ bn s¹rd bn s¹rd bn wʾlt bn lṭʿt bn bgrn bn ʿmw bn grʿ bn ʾlwhb bn ʿhm ḏ-ʾl rks¹ w wgm ʿl- ʾb -h w ḥll h- dr w ḫrṣ ʾḫw -h f y ʾlt s¹lm w ġnyt l- ḏ s²ws¹	By Mġyr son of Ḫrṣ son of S¹rd son of S¹rd son of Wʾlt son of Lṭʿt son of Bgrn son of ʿmw son of Grʿ son of ʾlwhb son of ʿhm of the tribe of Rks¹ and he grieved for his father and he was in this place and he was on the look out for his brothers (he missed his brothers). So O lt [grant] security and abundance for whoever shows respect for this inscription (whoever leaves this inscription intact)	Er trauerte um den Vater / und blieb an diesem Ort / und hielt Ausschau nach den Brüdern. / Sie fehlten ihm. / Allat — / Sicherheit und Fülle dem, der die Schrift achtet.
harren	RSIS 322	Tall aḍ-Ḍabiʿ	l ʾḥlm bn ʾnʿm bn lʿṯmn bn whb w ḫrṣ h-ʾs¹d f h lt wqyt	By ʾḥlm son of ʾnʿm son of Lʿṯmn son of Whb and he was on the look-out for the lion. So, O Lt protection [from...]	Er hielt Wache, / auf der Lauer nach dem Löwen. / Allat — Schutz.
harren	RWQ 120	Wādī Salma	l ns²l bn ṣbḥ bn ḫl bn ms¹k bn dd w ḫrṣ l- ʾs²ʿ -h ... w ḥḍr w wgm ʿl- yḥy	By Ns²l son of Ṣbḥ son of Ḫl son of Ms¹k son of Dd and he kept watch on behalf of his companions while they camped near permanent water; and he grieved for Yḥy	Er hielt Wache / für seine Gefährten, / während sie am beständigen Wasser lagerten, / und trauerte um Yḥy.
harren	SIJ 14	Jathum	l khl bn rġḍ bn hḏr w ḫrṣ h- ʾs¹d	By Khl son of Rġḍ son of Hḏr and he was on the look-out for the lion	Er hielt Ausschau / nach dem Löwen.
harren	SIJ 30	Jathum	l ṣʿd bn s¹ḫr bn ʿbd bn ----md ----{w}{h}---{l}m---- w tẓr h- ṯlg ʿl- {ḥ}{r}n	By Ṣʿd son of S¹ḫr son of ʿbd son of ---- and he was waiting for the snow [to fall] on {the Ḥawrān}	Er wartete / auf den Schnee / über dem Hauran.
harren	SIJ 323	Jawa	l rfʾt bn ʾnʿm bn rfʾt ḏ- ʾl ḥẓy w rdf h- ʾbl w ḫrṣ	By Rfʾt son of ʾnʿm son of Rfʾt of the tribe of Ḥẓy and he followed after the camels and was on the look-out	Er folgte den Kamelen / und hielt Ausschau.
harren	WH 175	WH Cairn 7	l s¹krn bn ʿqrb w ʾs²rq w ḫrṣ	By S¹krn son of ʿqrb and he migrated to the inner desert and he was on the look-out	Er zog tief in die Wüste / und hielt Ausschau.
fehlen	C 1146	Riǧm Qaʿqūl	l nḏr bn ʾs¹ bn bḥ(ṯ) w wg----	By Nḏr son of ʾs¹ son of {Bḥṯ) and wg----	Von Nḏr, Sohn des ʾs, / Sohn des Bḥṯ, / und wg----
fehlen	C 12	Ǧabal Says	l ʾlf bn ʿms¹ bn bwk w h rḍw ġnm---- m- s²n(ʾ)----w----mt l- ḏ s²ḥṣ f h lt w h s²hqm l----	By ʾlf son of ʿms son of Bwk and O Rḍw [grant] {booty}---- from {enemies} ---- and to him who is suffering from lack of milk. So O Lt and S²ʿhqm ----	Rudā — Beute ---- von Feinden ----, / und dem, der ohne Milch darbt. / Allat und Schaihaqaum ----
fehlen	C 1312	Riǧm Qaʿqūl	l ḥḍg bn s¹wr ---- w ḫl{l} w----	By Ḥḍg son of S¹wr ---- and {he kept watch} ----	Von Ḥḍg, Sohn des Swr ----. / Und er hielt Wache ----
fehlen	C 1368	Riǧm Qaʿqūl	l ḫlṣ ---- bn qdm bn ʾ{n}{ʿ}{m} bn rʿ ḏ- ʾ{l} ----	By Ḫlṣ ---- son of Qdm son of {ʾnʿm} son of Rʿ of the lineage of ----	Von Ḫlṣ ----, / Sohn des Qdm, / Sohn des ʾnʿm, Sohn des Rʿ, / vom Stamm ----
fehlen	HCH 102	Hani	l mʿn bn zbd bn ʿtk bn zbd w ḫrṣ ʿl- ʾḫ -h rdf ʾbl (-h) f h lt w---- s²ʿh ----	By Mʿn son of Zbd son of ʿtk son of Zbd and he kept watch for his brother [who was] following {his} camels. So O Lt and ---- S²ʿh ----	Er hielt Wache / um den Bruder, / der den Kamelen folgte. / Allat und ---- / Šʿh ----
fehlen	HCH 125	Hani	l ʾs²ym bn drʾl bn ʾs²ym bn drʾl bn ks¹ṭ bn ʿbd bn ʾs²ym bn ʾs¹ bn ʾʾs¹d bn s²rk w ḥ{ḍ}r ḫrs¹ f ḫrṣ ʿ----ḫl----rʿwr----ṭ	By ʾs²ym son of Drʾl son of ʾs²ym son of Drʾl son of Ks¹t son of ʿbd son of ʾs²ym son of ʾs¹ son of ʾʾs¹d son of S²rk w ḥḍr ḫrs¹ ḫrṣʿ----ḫl----rʿwr----ṭ	Von ʾšym, Sohn des Drʾl, / Sohn des ʾšym, Sohn des Drʾl, / Sohn des Ksṭ, Sohn des ʿbd … / Sohn des Šrk — / ḫrs ----ḫl----
fehlen	HCH 151	Hani	[----]lkt ḏ- ʾl fḍg w wgm ʿl- [----] [b]n[y] [h] r----mʿ----	----lkt of the lineage of Fḍg and he grieved for ---- {built} {h}r---- mʿ----	----lkt, / vom Stamm Fḍg. / Und er trauerte um ---- / baute ----
fehlen	HCH 157	Hani	[----] bn ʾs¹lh bn ytm b [----] ʾs¹{ʾ}	---- son of ʾs¹lh son of Ytm b [----] ʾs¹{ʾ}	----, Sohn des ʾslh, / Sohn des Ytm, / ---- ʾsʾ
fehlen	HCH 164	Hani	l ġṯ bn ʾḫ w wgm ʿl- ʾḫ -h w ----m----thrmnhs¹ʿdlm	By Ġṯ son of ʾḫ and he grieved for his brother w ----m----thrmnhs¹ʿdlm	Von Ġṯ, Sohn des ʾḫ. / Und er trauerte um den Bruder / ----
fehlen	HCH 183	Hani	l s¹ny bn ḥwr bn n ---- lt ḏ- ʾ[l] fṣ----	By S¹ny son of Ḥwr son of N----lt of {the lineage of} Fṣ----	Von Sny, Sohn des Ḥwr, / Sohn des N----lt, / vom Stamm Fṣ----
fehlen	HCH 184	Hani	l ʿbs¹ bn s²ẓr w q----ys¹r f ṣyr ḥg w----lḥmrn	By ʿbs¹ son of S²ẓr and q----ys¹r f ṣyr ḥg w----lḥmrn	Von ʿbs, Sohn des Šẓr, / und q----ysr — / ----
fehlen	HCH 195	bei Safawi	l wrs¹ bn ʾglḥ bn ys¹lm bn ʾglḥ bn ʾs¹l [----]ʿh w nẓr h- s¹my [----]ṯt	By Wrs¹ son of ʾglḥ son of Ys¹lm son of ʾglḥ son of ʾs¹l [----]ʿh and he waited for the rains [----]ṯt	Von Wrs, Sohn des ʾglḥ, / Sohn des Yslm, Sohn des ʾglḥ, / Sohn des ʾsl ----. / Und er wartete auf die Regen ----
fehlen	JaS 23	Km 612	---- bn {b}r{.} bn ---- ʿbkz{.} ---- {ʾ}l ʿmn	---- son of br son of ---- ʿbkz ---- ʾl ʿmn	----, Sohn des br, / Sohn des ----, / ʿbkz ----, / vom Stamm ʿmn.
fehlen	RQ.A 5	Riǧm Qaʿqūl	l s¹ʿd bn gls¹ bn ṣʿd bn mḥlm bn ʾnʿm bn lʿṯmn w wgm ʿl- ʾb {-h) w ʿl- ʾ---- w ---- w ʿl- ʾḫt -h w ʿl- ---- {w} ʿl- {ʾ}{l}{ṣ}qt---- ʿl- ʾnʿm w ʿl- ḥg ḥb {-h} w ʿl- ----rq---- s¹nt qbr w ʿl- {ġ}fr w ʿḥmn s¹by s¹nt qbr w ʿl- ṣḥrt w ʿl- gb w ʿl- ---- w ʿl- ṣrf	By S¹ʿd son of Gls¹ son of Ṣʿd son of Mḥlm son of ʾnʿm son of Lʿṯmn and he grieved for his father and for ʾ---- and ---- and for his sister and for ---- and for ʾlṣqt [and] for ʾnʿm and for Ḥg his beloved and for Rq the year of Qbr and for Ġfr and for ʿḥmn who was a prisoner the year of Qbr and for Ṣḥrt and for Gb and for ---- and for Ṣrf	Von Sʿd, Sohn des Gls, Sohn des Ṣʿd, / Sohn des Mḥlm, Sohn des ʾnʿm, Sohn des Lʿṯmn. / Und er trauerte um seinen Vater, / und um einen, dessen Name fehlt, / und um seine Schwester, / und um eine, deren Name fehlt, / und um ʾlṣqt, / und um ʾnʿm, / und um Ḥg, den er liebte, / und um Rq, im Jahr des Qbr, / und um Ġfr, / und um ʿḥmn, der gefangen war, im Jahr des Qbr, / und um Ṣḥrt, / und um Gb, / und um einen, dessen Name fehlt, / und um Ṣrf.
fehlen	SIJ 10	Jathum	l frʾ bn frq w tẓr ʿl---- s²nʾ f h rḍ{w} flṭ	By Frʾ son of Frq and kept watch ---- enemies and so O {Rdw} [grant] deliverance	Von Frʾ, Sohn des Frq. / Und er hielt Wache ---- Feinde. / Rudā — Errettung.
fehlen	WH 1501.2	Fundort unbekannt	ḥlb w ḥwb	Ḥlb and he wept with grief	Ḥlb. / Und er weinte vor Kummer.
fehlen	WH 1867.1	Fundort unbekannt	l ġyrʾl bn ġrt bn ḏll ḏ- ʾl s²mt w rʿy h- ms¹ty s¹nt	By Ġyrʾl son of Ġrt son of Ḏll of the tribe of S²mt and he pastured the MSTY the year of...(?).	Er weidete an jenem Ort / in einem Jahr, / dessen Name fehlt.
bitten	AbSWS 42	Wādī Salma	l nṣr bn s¹hm bn hdl bn ẓnʾl w qyẓ f h lt s¹lm	By Nṣr son of S¹hm son of Hdl son of Ẓnʾl and spent the dry season so O Lt [grant] security	Er blieb die Trockenzeit. / Allat — Sicherheit.
bitten	BS 209	Al-Mafraq	l mṣrm bn m<.>fny ---- w h {l}t w bʿl{s¹}mn w s²ʿ{h}{q}[m] qbll m- s²bb s¹rʿ	By Mṣrm son of {Mfny} ---- and O Lt and {Bʿls²mn} and {S²ʿhqm} return of a loved one from S²bb S¹rʿ	Allat, Baalschamin, Schaihaqaum — / bringt ihm den Geliebten zurück.
bitten	C 1086	Rif Dimašq	l mlt bn hrmṯ (f) h lt s¹lm dyqḥgwrs²yḥnnm	By Mlt son of Hrmṯ (and so) O Lt may he be secure dyqḥgwrs²yḥnnm	Allat — / Sicherheit.
bitten	C 134	Ǧabal Says	l ʿbd bn mlk h rḍw flṭ	By ʿbd son of Mlk O Rḍw [grant] liberation	Rudā — / schenk Errettung.
bitten	C 1412	Riǧm Qaʿqūl	l ẓnʾl bn rb bn {r}b (b)(n) m{q}{d} {f} h lt s¹lm w h lt	By Ẓnʾl son of Rb son of Rb {son of} {Mqd} {and so} O Lt may he be secure and O Lt	Allat — / Sicherheit, / Allat —
bitten	C 1496	Zalaf	h rḍw s¹{ʿ}(d) ʾlh bn bdn bn kn	O Rḍw {help} ʾlh son of Bdn son of Kn	Rudā — / hilf dem ʾlh, / Sohn des Bdn.
bitten	C 1629	Zalaf	l gfft bn dbb w h ylt flṭ m- bʾs¹ h- s¹nt	By Gfft son of Dbb and, O Ylt, let there be escape from evil in this year.	Yalt — / Errettung vom Bösen / in diesem Jahr.
bitten	C 1660	Zalaf	l frʾ bn ḫr bn s¹krn bn ṣbḥ w h lt s¹lm	By Frʾ son of Ḫr son of S¹krn son of Ṣbḥ and O Lt may he be secure	Allat — / Sicherheit.
bitten	C 218	Rif Dimašq	l s²dy bn hʿbd bn ys¹mʿl w h yṯʿ ġwṯ h- bʾs¹t	By S²dy son of Hʿbd son of Ys¹mʿl and, O Yṯʿ, remove from him [these] misfortunes.	Yaṯaʿ — / nimm ihm dies Unheil.
bitten	C 64	Ǧabal Says	l frhz bn khl bn frhz {b}[n] ʿbd f h lt s¹lm w ----	By Frhz son of Khl son of Frhz {son of} ʿbd; so O Lt [grant] security and ----	Allat — / Sicherheit.
bitten	C 805	Rif Dimašq	l ys¹ʿd bn mṯn bn brʾ h ʾlt flṭ	By Ys¹ʿd son of Mṯn son of Brʾ O Lt [grant] deliverance	Allat — / schenk Errettung.
bitten	C 885	Khirbat al-Umbāšī	l ḥwlt f h rḍy s¹[l]m	By Ḥwlt and so O Rḍy {may he be secure}	Rudā — / Sicherheit.
bitten	C 898	Khirbat al-Hubayrīyah	l mnrt bn ʿbṭ w rʿy h- ḥmr (f) h lt s¹lm ----	By Mnrt son of ʿbṭ and he pastured the donkeys {and so} O Lt may he be secure ---	Er weidete die Esel. / Allat — Sicherheit.
bitten	C 907	Khirbat al-Hubayrīyah	l s¹lmlh bn zqm w mṭ(y) f h lt s¹(l)m	By S¹lmlh son of Zqm and he was on a journey and so O Lt may he be secure	Er war auf der Reise. / Allat — Sicherheit.
bitten	Is.Mu 88	al-ʿĪsāwī	l ʾs¹ b{n} ʾs¹d bn rbʾl bn ʾnʿm bn ms¹k bn s²kr bn ġlmt bn ʿbd w wr{d} {b-} {h-} mrbʿt w s¹ʾr ----r {ḏ}g w ṣlf h- s²ty s¹nt ngy wdn m- rm----wn{y} f {h} bʿls¹mn rwḥ	By ʾs¹ {son of} ʾs¹d son of Rbʾl son of ʾnʿm son of Ms¹k son of S²kr son of Ġlmt son of ʿbd and {he came to a watering place} in an area of abundant herbage and remained ---- and the winter brought no rain the year Wdn fled from {Rmn}----? and so O Bʿls¹mn [grant] relief from distress and uncertainty	Der Winter brachte keinen Regen / in dem Jahr, als Wdn floh. / Baalschamin — / nimm ihm Not und Ungewissheit.
bitten	LP 1267	Al-Suwaydā	l bḫ(l)h bn lhyn bn ḫbb bn kdr bn ṭḥrt w ḥy f h (ʾ)lt l- (k)ʿmh ʾḫ -h <t>	By {Bẖlh} son of Lhyn son of H̱ bb son of Kdr son of Ṭḥrt and grant long life, O {ʾlt}, to {Kʿmh}, his brother	Allat — / schenk langes Leben / dem Bruder Kʿmh.
bitten	MKJS 80	Al-Mafraq	h nṣr {s¹}ʿ{d} ḏ wd w flṭ m- bʾs¹	O Nṣr {help} whoever loves and deliver from distress	Nasr — / hilf dem, der liebt, / und errette aus der Not.
bitten	WAMS 19.2	Km 910	..ḥ bn gḥr w tẓr mny f h rḍw flṭ -h.	..ḥ son of Gḥr and he awaited Fate. So O Rḍw deliver him.	Er wartete auf das Schicksal. / Rudā — errette ihn.
klagen	AbaNS 361	Site 12	l s²kr bn hf w ḥwb ʿl- ḥbb -h	By S²kr son of Hf and he wept with grief for his loved one	Er weinte vor Kummer / um einen, den er liebte.
klagen	AbaNS 453	Site 13	l glhm bn ʿs²q w ḥwb	By Glhm son of ʿs²q and he wept with grief	Er weinte vor Kummer.
klagen	C 4273	Al-Suwaydā	l mḥlm bn ʾs¹ bn mḥlm w wgm ʿl- ʾb -h w ʿl- ʾḫ -h trḥ w ʿl- ḫlṣ w ʿl- ʾtm	By Mḥlm son of ʾs¹ son of Mḥlm and and he grieved for his father and for his brother untimely dead and [he grieved] for Ḫlṣ and for ʾtm	Er trauerte um den Vater / und um den Bruder, zu früh dahin, / und um Ḫlṣ und um ʾtm.
klagen	C 5367	Ḥarrat al-Raǧil	l ʾs¹b bn kf w ḥwb	By ʾs¹b son of Kf and he wept with grief	Er weinte vor Kummer.
klagen	CSNS 781	Qāʿ al-Maḥfūr	l rbnt	By Rbnt	Er weinte vor Kummer.
klagen	HNSD 13	Jordanien (allg.)	l s²fr bn ʿḏrʾl w ḥwb	By S²fr son of ʿḏrʾl and he wept with grief	Er weinte vor Kummer.
klagen	HaNS 708	Cairn 10	l ʿhd bn gml w ḥwb	By ʿhd son of Gml and he wept with grief	Er weinte vor Kummer.
klagen	HaNSB 319	Cairn 9	l ʿqrb bn ʿys¹ w ḥwb	By ʿqrb son of ʿys¹ and he wept with grief	Er weinte vor Kummer.
klagen	HaNSB 346	Cairn 9	l mrʾt bn ḫlʾl w ḥyb ʿl- bn -h wlym	By Mrʾt son of H̲lʾl and he wept with grief for his son Wlym	Er weinte vor Kummer / um seinen Sohn Wlym.
