Register,Sigle,Fundort,Zeichnung,Motiv,Quelle,im Band
IV bitte,C 1496,Zalaf,nein,,,—
IV bitte,C 1629,Zalaf,nein,,,—
IV bitte,C 1660,Zalaf,nein,,,—
V schweige,RQ.A 5,Riǧm Qaʿqūl,nein,,,—
V schweige,WH 1867.1,Fundort unbekannt,nein,,,—
V schweige,WH 1501.2,Fundort unbekannt,nein,,,—
V schweige,JaS 23,Km 612,nein,,,—
V schweige,HCH 102,Hani,nein,,,—
V schweige,HCH 125,Hani,nein,,,—
V schweige,HCH 151,Hani,nein,,,—
V schweige,HCH 157,Hani,nein,,,—
V schweige,HCH 164,Hani,nein,,,—
V schweige,HCH 183,Hani,nein,,,—
V schweige,HCH 184,Hani,nein,,,—
V schweige,HCH 195,bei Safawi,nein,,,—
V schweige,C 1146,Riǧm Qaʿqūl,nein,,,—
V schweige,SIJ 10,Jathum,nein,,,—
V schweige,C 12,Ǧabal Says,nein,,,—
V schweige,C 1312,Riǧm Qaʿqūl,nein,,,—
V schweige,C 1368,Riǧm Qaʿqūl,nein,,,—
VI klage,LP 540,al-ʿĪsāwī,nein,,,—
VI klage,KRS 17,Wādī Salma,nein,,,—
VI klage,AbaNS 361,Site 12,nein,,,—
VI klage,C 4273,Al-Suwaydā,nein,,,—
VI klage,CSNS 781,Qāʿ al-Maḥfūr,nein,,,—
VI klage,WH 1517,Fundort unbekannt,nein,,,—
VI klage,AbaNS 453,Site 13,nein,,,—
VI klage,WH 3829,Fundort unbekannt,nein,,,—
VI klage,WH 3029,Fundort unbekannt,nein,,,—
VI klage,WH 2825,Fundort unbekannt,nein,,,—
VI klage,HaNSB 319,Cairn 9,nein,,,—
VI klage,HaNS 708,Cairn 10,nein,,,—
VI klage,HaNSB 346,Cairn 9,nein,,,—
VI klage,HNSD 13,Jordanien (allg.),nein,,,—
VI klage,SIJ 1001,bei Ruwayshid,nein,,,—
VI klage,SIJ 811,Tell al-ʿAbd,nein,,,—
VI klage,SSWS 28,Wādī Sārah,nein,,,—
VI klage,C 5367,Ḥarrat al-Raǧil,nein,,,—
VII verfluche,C 4803,Zalaf,nein,,,—
VII verfluche,RSIS 351,Tall aḍ-Ḍabiʿ,nein,,,—
VII verfluche,LP 243,Al-Mrōshan,nein,,,—
VII verfluche,C 2775,Zalaf,nein,,,—
VII verfluche,WH 368,Fundort unbekannt,nein,,,—
VII verfluche,LP 461,al-ʿĪsāwī,nein,,,—
VII verfluche,KRS 813,Al-Mafraq,nein,,,—
VII verfluche,KRS 941,Al-Mafraq,nein,,,—
VII verfluche,Is.Mu 242,al-ʿĪsāwī,nein,,,—
VII verfluche,HCH 85,Hani,ja,zwei Zeichnungen (Motiv unbenannt); Inschrift in Kartusche,Commentary (OCIANA),nicht im Band benannt
VII verfluche,C 286,Rif Dimašq,ja,Göttin Rḍy / weibliche Figur(en),Associated Drawings (OCIANA),nicht im Band benannt
VII verfluche,C 1658,Zalaf,ja,Szene: zwei Kamele + Mann mit Schwert und Schild (in Kartusche),Associated Drawings (OCIANA),im Band benannt
VII verfluche,C 1845,Zalaf,nein,,,—
VII verfluche,C 2551,Zalaf,nein,,,—
VII verfluche,C 3138,Zalaf,nein,,,—
VII verfluche,C 4439,Al-Suwaydā,nein,,,—
VII verfluche,C 5299,Ḥarrat al-Raǧil,nein,,,—
VII verfluche,LP 308,al-ʿĪsāwī,nein,,,—
VIII bezeuge,HSNS 5,Jordanien (allg.),nein,,,—
VIII bezeuge,LP 653,Rif Dimašq,nein,,,—
VIII bezeuge,C 2670,Zalaf,ja,Oryx (Umriss),Associated Drawings (OCIANA),nicht im Band benannt
VIII bezeuge,ISB 57,Site 4,nein,,,—
VIII bezeuge,HSNS 1,Jordanien (allg.),nein,,,—
VIII bezeuge,RQ.D 3,Riǧm Qaʿqūl,nein,,,—
VIII bezeuge,LP 1291,Syrien (allg.),nein,,,—
VIII bezeuge,C 2190,Zalaf,nein,,,—
VIII bezeuge,RQ.D 6,Riǧm Qaʿqūl,nein,,,—
VIII bezeuge,Is.L 202,al-ʿĪsāwī,nein,,,—
VIII bezeuge,ASFF 267,Al-Mafraq,nein,,,—
VIII bezeuge,KRS 1586,Al-Mafraq,nein,,,—
VIII bezeuge,C 4681,Rif Dimašq,nein,,,—
VIII bezeuge,ZN 1,Zimlet Nāṣir,nein,,,—
VIII bezeuge,RWQ 304,Wādī Salma,nein,,,—
VIII bezeuge,BWM 3,Wādī Miqāṭ,nein,,,—
VIII bezeuge,RSIS 324,Tall aḍ-Ḍabiʿ,nein,,,—
VIII bezeuge,C 4902,Rif Dimašq,nein,,,—
